"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",9.375,"B"
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",8.475,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",10.65,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",9.475,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",8.95,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",9.4,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",9.675,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",10.275,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",10.575,
"AUT","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",11.2,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",21.025,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",17.425,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",16.875,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",17.7,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",21.725,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",21.1,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",21.475,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",20.475,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",18.875,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",17.825,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",21.9,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",22.4,"B"
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",18.675,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",19.675,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",23.675,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",23.3,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",22.1,
"BEL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",20.125,"B"
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1995",14.825,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1996",15.4,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1997",16.25833,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",15.175,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",14.05,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",12.69167,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",12.88333,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",13.64167,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",13.61667,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",13.46667,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",12.39167,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",11.64167,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",11.2,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",11.61667,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",15.3,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",14.90833,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",14.26667,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",14.40833,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",13.71667,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",13.45,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",13.175,
"CAN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",13.08333,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",13,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",18.025,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",18.1,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",17.55,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",16.875,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",18.55,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",21.025,"B"
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",19.2,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",17.5,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",10.725,"B"
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",9.85,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",16.575,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",18.35,"B"
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",18.075,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",19.525,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",18.975,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",15.825,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",12.55,
"CZE","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",10.475,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",9.475,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",6.725,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",8.45,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",7.4,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",9.175,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",8.2,"B"
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",8.6,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",7.725,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",7.5,"B"
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",8.025,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",11.85,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",13.975,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",14.225,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",14.15,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",13.025,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",12.625,
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",10.85,"B"
"DNK","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",11.975,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",23.8,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",21.15,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",21.125,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",19.425,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",20.675,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",21.425,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",20.4,"B"
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",19.775,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",18.425,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",16.45,"B"
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",16.175,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",21,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",21.125,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",19.75,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",18.775,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",19.55,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",20.35,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",22.025,
"FIN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",19.875,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",18.175,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",19.725,"B"
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",20.275,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",21.35,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",18.85,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",18.3,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",22.975,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",22.575,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",21.975,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",23.625,"B"
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",24.05,"B"
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",24.225,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",24.675,
"FRA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",24.6,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",15.55,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",13.75,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",11.925,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",10.575,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",11.25,"B"
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",9.825,"B"
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",8.525,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",8.05,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",7.8,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",7.75,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",7.25,
"DEU","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",7.05,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",30.525,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",31.6,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",29.2,"B"
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",28.05,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",26.55,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",26.65,"B"
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",26.5,"B"
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",25.775,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",24.975,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",22.675,"B"
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",21.875,"B"
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",25.725,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",33,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",44.7,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",55.3,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",58.25,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",52.425,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",49.8,
"GRC","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",47.35,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",12.775,"B"
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",12.475,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",11.3,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",12.65,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",13.35,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",15.475,"B"
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",19.4,"B"
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",19.125,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",18,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",19.5,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",26.375,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",26.425,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",25.95,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",28.225,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",26.6,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",20.4,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",17.3,
"HUN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",12.95,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",8.4,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",8.125,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",7.45,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",8.2,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",6.95,"B"
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",8.225,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",15.6,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",16.075,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",14.375,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",13.5,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",10.525,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",9.75,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",8.75,
"ISL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",6.5,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",6.9,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",7.075,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",8.425,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",9.1,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",8.9,"B"
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",8.525,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",8.55,"B"
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",9.05,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",13.3,"B"
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",24.025,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",27.625,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",29.05,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",30.375,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",26.75,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",23.925,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",20.875,
"IRL","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",17.2,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",33.85,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",32.85,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",31.15,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",28.2,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",27.225,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",27.075,"B"
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",23.5,"B"
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",24.1,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",21.75,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",20.375,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",21.225,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",25.325,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",27.875,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",29.075,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",35.3,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",40,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",42.675,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",40.325,
"ITA","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",37.75,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1968",1.808333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1969",1.866667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1970",1.966667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1971",2.075,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1972",2.45,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1973",2.258333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1974",2.441667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1975",3.05,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1976",3.191667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1977",3.558333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1978",3.758333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1979",3.608333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1980",3.558333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1981",3.9,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1982",4.325,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1983",4.441667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1984",4.9,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1985",4.766667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1986",5.15,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1987",5.291667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1988",4.866667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1989",4.533333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1990",4.3,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1991",4.425,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1992",4.375,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1993",5.041667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1994",5.516667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1995",6.108333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1996",6.566667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1997",6.641667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1998",7.741667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","1999",9.191667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",9.083333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",9.591666,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",9.925,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",10.125,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",9.508333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",8.625,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",7.991667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",7.725,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",7.283333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",9.166667,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",9.325,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",8.289311,"B"
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",8.125,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",6.808333,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",6.2,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",5.575,
"JPN","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",5.158333,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2000",10.78575,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2001",10.21616,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2002",8.495173,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",10.05089,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",10.43056,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",10.15237,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2006",9.953652,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2007",8.788678,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2008",9.270709,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2009",9.836775,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2010",9.773147,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2011",9.613639,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2012",8.987365,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2013",9.344566,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2014",10.02663,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2015",10.5208,
"KOR","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2016",10.67593,
"LUX","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2003",10.9,
"LUX","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2004",16.9,
"LUX","YOUTHUNEMP","TOT","PC_YOUTHLF","A","2005",13.7,
